Processes,Threads,Width,Height,NumSpheres,NumSamples,RenderType,MinTime,MaxTime,AvgTime
7,8,512,512,100,10,row,5.74917,10.8909,8.42805
7,8,512,512,100,10,row,5.64082,11.006,8.20402
7,8,512,512,100,10,row,5.58793,12.0725,8.31447
7,8,512,512,100,10,row,5.53439,12.1767,8.75084
7,8,512,512,100,10,row,5.04584,12.0517,7.96593
7,8,512,512,100,10,row,6.49417,9.46285,7.97841
7,8,512,512,100,10,row,5.94122,10.7039,7.96344
7,8,512,512,100,10,row,6.50315,9.84103,7.95458
7,8,512,512,100,10,row,4.54929,12.223,7.68257
7,8,512,512,100,10,row,5.96337,12.0214,8.1547
